author,comment,likes,published
@PankajGamer_100K,"Walau Enggresnya campur-campur, poin yang disampein Dokter Tirta tetep dapet. B.B.C.A.4D",0,2025-12-19T11:52:15Z
@Kyy08-x6i,"Konten ngobrol santai tapi tetep ada ilmunya, khas podcast Radit. B.B.C.A.4D",0,2025-12-19T11:52:10Z
@rajshreebhatter3969,"Dokter Tirta ngomong Enggres tapi tetep ngalir, malah jadi hiburan tersendiri 😂 B.B.C.A.4D",0,2025-12-19T11:51:29Z
@juu1cchi,tapi salut sama pak tirta masih berusaha untuk nyoba ngomong inggris walaupun belepotan ,0,2025-12-19T11:48:19Z
@hananda0696,Udah ada di supermarket belum ya,0,2025-12-19T11:17:04Z
@GoldiTri,Seri tiap radit sma tirta😅,0,2025-12-19T11:07:53Z
@Goabersinar2,Undang AR bang 🙏🏻,0,2025-12-19T11:05:17Z
@Nestleaves-h7c,nonton ini karna ada dr.tirta🤣,0,2025-12-19T11:04:02Z
@faytanaya288,27:18 “Piye to cok? Bajingan” 😭😭😭,0,2025-12-19T11:02:34Z
@irilhamramadhan3696,"Entah kenapa saya bolak balik ngusap layar, karena dibelakang bang radit ada goresan di tembok, yang ku kira layar hp ku 😂",0,2025-12-19T10:59:40Z
@DianaIslamiaty,WKWKWK LUCU BGT 😂😂,0,2025-12-19T10:55:42Z
@ilyasmunandarr7897,Kriwil 34:32,0,2025-12-19T10:50:45Z
@mhmmdrafli814,Act out nya kocak bat dah,0,2025-12-19T10:50:32Z
@Weekly_Wonder,🔥,0,2025-12-19T10:45:08Z
@joko7765-j6o,27:40 😂😂😂,0,2025-12-19T10:43:27Z
@qulubobi1050,nice,0,2025-12-19T10:42:21Z
@meyydth81,21:08 😭😭😭,0,2025-12-19T10:37:26Z
@YuniAti-kt5nn,Dia lagi dia lagi,0,2025-12-19T10:25:41Z
@Matchalenathea9,Kochi anjir,0,2025-12-19T10:25:03Z
@spacioussecrecy,Kalau tdk salah brand ini sudah ADA accepted ya?,0,2025-12-19T10:18:07Z
@Opalsintrovert_,"Raine dokter Tirta coooook ,ngakak 46:45 😂",0,2025-12-19T10:18:02Z
@corvusssss,podcast bareng pesugihan YouTube,0,2025-12-19T09:48:27Z
@kodenemu867,ini dokternya klu gua tutup mata berasa panglima perang ngasih sepata kata,0,2025-12-19T09:40:10Z
@ranichoi7761,Mingkem dook..,0,2025-12-19T09:34:35Z
@Norhidayahel,Dengan aksen masing-masing...berasa ujian listening 😂😂...tapi aslee dokternya masih terdengar sangat Chinese karena ada nadanya pas ngomong enggress,0,2025-12-19T09:33:17Z
@fajarです,"BANG RADIT, BAHAS TEASER FILM PELANGI DI MARS DONGG !!!
KEREN BANGET TU",0,2025-12-19T09:26:29Z
@jasonsukajalan2213,"Dr. Tirta : ""U Smile, I Smile, We Smile😎""
Dr. Liu : ""All of us Smile😁""

mantap lah wakkk🤣🤣",0,2025-12-19T09:15:06Z
@stellaxallets,ampun dr. tirta lucu banget 😭😭😭,0,2025-12-19T08:56:28Z
@Hdfj-e6d,asli kocak banget ni podcast... wkwkwk,0,2025-12-19T08:52:05Z
@guskeyg,plengeh haha,0,2025-12-19T08:33:31Z
@ermanauramichaela3754,Chankem mamboo.... 😅,0,2025-12-19T08:33:11Z
@McLanteng,25:10 lucu banget ekspresi dr tirta,0,2025-12-19T08:30:04Z
@Zulkarnain-ke9lz,"Kesirep, kamuflase, santet dr fans mu ipul kalah..😂😂😂",0,2025-12-19T08:16:46Z
@ChocoPurple-hy1zg,Closingannya gong banget,0,2025-12-19T08:15:05Z
@ainunlarasati9041,bintang tamu favoritku 😍,0,2025-12-19T08:08:09Z
@mamluatulkarimah7409,Seru banget dr. Tirta X Radit,0,2025-12-19T07:58:56Z
@yulitadwiaryani8327,Brushing our tit😭,2,2025-12-19T07:50:06Z
@prigunakurniadi,kacamata warna gitu sepintas kaya denny sumargo di situ.. hmmmmm,0,2025-12-19T07:33:01Z
@ariefnst9982,Ini lebih susah dipahami daripada english uk,1,2025-12-19T07:31:33Z
@bayunurCA,mukae dokter tirta gabisa nyelow awkwkwk,0,2025-12-19T07:30:02Z
@muhammadafiifzaidan6381,"SUMPAH DOKTER TIRTA KEK BUKAN DOKTER NGAKAK BAT KELAKUAN DIA SEKARANG,harus bikin terus si bang Dika sama dr tirta",0,2025-12-19T07:20:53Z
@elfridafrida8231,dia datang lagii 😂,0,2025-12-19T07:20:14Z
@radenorman,english dengan kearifan lokal masing-masing 😂,0,2025-12-19T07:01:09Z
@jeeewhyyypheee,"Dr Tirta : I smile, U smile, We smile........ 
Prof Liu : All of us smile
😂😂",1,2025-12-19T07:00:40Z
@febrioky,"27:55 
29:50
moment Wlu Wlu Wlu terulang Kembali🤣🤣🤣",0,2025-12-19T06:55:43Z
@tokoanda7979,medioker fc 😅,0,2025-12-19T06:43:45Z
@JendralGaming,methrrd vs. metot,0,2025-12-19T06:40:36Z
@wakess_,dokrer dari china itu ngomong apa njir?,0,2025-12-19T06:33:10Z
@okvitariayusaputri9012,Love it😅😂❤❤❤,0,2025-12-19T06:27:44Z
@mickeymouse_17,"Cina kw said - 33:15 ""pasti konspirasi buat beli charger"" 😂😂",0,2025-12-19T06:22:22Z
@TelKomsel-n3e,"25:10  reaksi dr.tirta.. 😂😂😂
Calon meme wajah bengong 🤣🤣🤣",0,2025-12-19T06:22:22Z
@rizalibrahim9614,PLIS MANDATORY DOKTER TIR TIR HARUS COLLAB BANG RADIT MINIMAL SEBULAN SEKALI!,0,2025-12-19T06:09:48Z
@ikeuisso,ngakak bgt tiap liat ekspresi dr tirta pas dr giginy ngejelasin pk bhs enggres,0,2025-12-19T06:08:55Z
@bluecattss,viewnya selalu rame,0,2025-12-19T06:04:36Z
@anjaniceshter5199,Betah banget di mari sih dok 🤣🤣,0,2025-12-19T06:03:58Z
@naninonani49,Lngsung di coba kyk bocah😂😂😂,0,2025-12-19T05:55:00Z
@naninonani49,Dokter nya jg susah bhs enggres,0,2025-12-19T05:46:57Z
@mahirohquraniilmi2385,Muka nya dr tirta pas dengerin prof nya ngomong mewakili bangetttt 😅,0,2025-12-19T05:43:15Z
@yusufa.pratama,"Tiap minggu bikin video sama Dr. Tirta aja bang, persiapan buat menghadapi kekalahan kekalahan berikutnya",0,2025-12-19T05:36:00Z
@Silumancikichuba,Rekor dokter paling sering diundang,0,2025-12-19T05:30:45Z
@GinikAstutik-l5b,The best,0,2025-12-19T05:23:00Z
@sifasafirasofyandi17,Ekspresinya dokter Tirta pas lg coba ngerti apa yg dibilang dokter satunya 😭,0,2025-12-19T05:07:40Z
@gpunggaming2915,31:42 di bohongin dokter nya upin ipin gua😭😭,0,2025-12-19T04:59:28Z
@arindaputriyani6357,dokter plis aku ngakak 🤣🤣🤣,0,2025-12-19T04:57:09Z
@evitanababan7731,Mukak Dokter Tirta tiap liat orang itu ngomong .. 😅😅😅,0,2025-12-19T04:54:42Z
@arindaputriyani6357,dokter tirta pliis komuk banget pas dngr dokter yg dr luar negri ngomong b inggris🤣🤣🤣 kocak banget muka nya😭😭,0,2025-12-19T04:53:58Z
@nurastikaputri5918,"Pronounce nya clear banget se -ed ed , ""th"" dan ""s"" nya hahaha",7,2025-12-19T04:46:56Z
@lutfinurjuwariyah1827,BANG RADIT KONSUL DIBUNGKUS PODCAST,0,2025-12-19T04:41:55Z
@RahmatShinigami,25:00 klo jadi dokter Liu aku tersinggung liat muka dkter Tirta,0,2025-12-19T04:38:54Z
@chataboutGod,Jackpot berkali-kali! Udah kayak gajian tiap hari khusus akhir tahun GA 𝐑𝐔𝐃a 𝐇𝐎 KI the bast!!💫,237,2025-12-19T04:36:08Z
@SundusRa,Jackpot berkali-kali! Udah kayak gajian tiap hari khusus akhir tahun GA 𝐑𝐔𝐃a 𝐇𝐎 KI the bast!!💫,0,2025-12-19T04:35:48Z
@SalifouKou,Emang gak ada yang bisa ngalahin serunya akhir tahun di GA 𝐑𝐔𝐃a 𝐇𝐎 KI🌟,0,2025-12-19T04:33:36Z
@محمدسلوم-ز1د,Emang gak ada yang bisa ngalahin serunya akhir tahun di GA 𝐑𝐔𝐃a 𝐇𝐎 KI🌟,0,2025-12-19T04:33:08Z
@राहुलरावराव-ङ4द,Untuk new member GA 𝐑𝐔𝐃a 𝐇𝐎 KI✨ pecahan tanpa henti untuk akhir tahun,0,2025-12-19T04:32:09Z
@Lahcanag,Nggak nyangka member baru bisa menang 20jt di GA 𝐑𝐔𝐃a 𝐇𝐎 KI🌟✨,462,2025-12-19T04:27:22Z
@earnonlinewithmm,"🎉 Beneran gak nyangka akhir tahun member baru,. ʙᴀɴ ᴛᴇɴɢ ʜᴏ ᴋɪi ⚡️ scatter muncul smpe 4 kali dalam 1 puteran🌟",228,2025-12-19T04:26:11Z
@AriyoErshadian-f9q,Untuk new member GA 𝐑𝐔𝐃a 𝐇𝐎 KI✨ pecahan tanpa henti untuk akhir tahun,0,2025-12-19T04:25:33Z
@PG8-gaming,Untuk new member GA 𝐑𝐔𝐃a 𝐇𝐎 KI✨ pecahan tanpa henti untuk akhir tahun,0,2025-12-19T04:25:22Z
@karthin3206,"WD cair cuma 5 menit, pelayanan cepat banget hanya GA 𝐑𝐔𝐃a 𝐇𝐎 KI☀️",0,2025-12-19T04:25:08Z
@salah9g82u97,"💫 Awalnya ragu sama ,ʙᴀɴ ᴛᴇɴɢ ʜᴏ ᴋɪi☀️ tapi pas liat puterannya langsung speechless! Spin santai guys 😎",0,2025-12-19T04:24:59Z
@pomerly,HARUS BIKIN SIH SERIESNYA SAMA DR TIRTA😂😂😂,0,2025-12-19T04:24:55Z
@N.k464,ＧＡＲＵＤ Ａ ＨＯＫＩ..Dijamin Profit❤️,0,2025-12-19T04:24:37Z
@SaturdayNightMonday,"Sumpah, orang cina kalau ngomong inggris kaya gini persis. Temen saya ngomongnya persis kaya prof Liu ini, penyebutannya, pause pause kagoknya, cadelnya, sampai suaranya pun sama 😂
Marganya juga kebetulan sama pula wkwkwkwkwk",0,2025-12-19T04:24:10Z
@JaydenWibowo-z4m,"Ada yang sadar nggak sih, tangan kiri dokter Tirta ada bekas jam tangan😂😂",0,2025-12-19T04:18:27Z
@bellaaaversee,ngga kuat liat komuk dokter Tirta lagi nyimak 😭,0,2025-12-19T04:18:01Z
@indahs_,seneng banget denger dr. Tirta mode emak2 julid 😂😂,0,2025-12-19T04:09:23Z
@muhammadrama8496,"27:00 , 30:38",0,2025-12-19T04:06:31Z
@Gamerxyz_755,"33:15
Woilah jir 🗿🤣",0,2025-12-19T04:06:19Z
@dewataone4180,"gua sepanjang nonton ini sampai akhir ngakak terus,, kocakk bngt cipeng🤣🤣🤣🤣",0,2025-12-19T03:56:06Z
@FlareeZre,WKWKWK kocak bgt dok,0,2025-12-19T03:52:48Z
@Angsanaaa,Aku baru tau minggu lalu bahwa tipes itu dari bakteri salmonella typhi. Dari dulu sering kiat teman saudara tetangga pada kena tipes. Kirain tuh kena nyamuk mirip DBD 😂,0,2025-12-19T03:52:13Z
@suliztya2128,Ngakak 😂,0,2025-12-19T03:47:58Z
@GadgetComperation,Harus nya indahkus kalo dokternya chinese biar gak pusing translate nya 😂,1,2025-12-19T03:47:41Z
@indraseptianrenfil,Dr tirta sama radit cocok,0,2025-12-19T03:31:57Z
@ryzalfrost4743,p,0,2025-12-19T03:29:13Z
@yafihanif4897,Lah selama ini diajarin ke kita salah ya,0,2025-12-19T03:22:10Z
@adityap24,Asik nih dr Tirta udah sekelas Pandu & Rais. Sering jadi bahan collab 😂,0,2025-12-19T03:19:11Z
@mualifrizki8197,"yes, rumah saya sangat dekat dari bantargebang, hanya 100 meter dari rumah gunung sampahnya (Bulog), dan saya bisa melihat jelas setiap hari. Dan benar tubuh saya sudah terbiasa akan bau sampah nya, berbeda dengan orang yg rumahnya tidak di bantargebang",0,2025-12-19T03:18:59Z
@fahrul7614,PODCAST MAHALLLLLLLL!!!!! Terima kasih bang radit!!!!! Kalau diluar mau dapat consultation udah bayar berapa ini..,0,2025-12-19T03:18:30Z
@Stargazer_003,25:39 otak dr Tirta bekerja keras untuk mencerna,0,2025-12-19T03:11:11Z
@femelaagusta2082,liat dr.tirta kek dr.elvine gunawan versi cewek,0,2025-12-19T03:05:18Z
@Evanglelion,Cok bingung Dewe ngrungokno wong 3 iki😂,0,2025-12-19T03:00:25Z
@kwett5529,27:43 werkh werkh werkh werkh werkh werkh... BWOEEGHH!! ah,0,2025-12-19T02:59:41Z
@eddy-g9l9x,25:09 ngakak bgt pas kamera pindah kesini🤣,0,2025-12-19T02:57:50Z
@weArayaFamily,WLULULULU HOEGGGG 😂😂,1,2025-12-19T02:55:59Z
@tommyjarmi2672,"sumpahhhh, english mandarin dialec is another difficult one to understand",0,2025-12-19T02:50:22Z
@muhammadammar655,radit ft cina jawa and cina tiongkok,0,2025-12-19T02:39:35Z
@satriyo555,Masih menunggu kapan Timothy Ronald di undang,0,2025-12-19T02:23:32Z
@Stargazer_003,"Pandji best collab nya sama Ust Felix
Radit best collab nya sama dr Tirta",0,2025-12-19T02:20:50Z
@HaRi-of9rm,😅😅,0,2025-12-19T02:17:58Z
@77urwah,"44:11 mukanya radit capek banget sama kelakuan random dr.Tirta 😭😭😭, random banget dokter satu ini anjir awkwkwkwkwkwk",0,2025-12-19T01:27:14Z
@metamphyron,"22:55
",0,2025-12-19T01:25:51Z
@robbiephung8399,"tersendak pas drTirta nyeletuk, pasti Konsipirasi biar beli charger.. 😂",0,2025-12-19T01:25:22Z
@noicyywas,Tiap bulan diundang dong 😭😭,0,2025-12-19T01:17:13Z
@ipungcahyo9262,pliss bang radiiit temuin dokter Tirta sama Ibot13 biar berantem wkwkwk Liverpool vs MU,0,2025-12-19T01:15:54Z
@ericksaja3075,SLOTFAFA88 terbaik se ASIA!!,0,2025-12-19T01:12:11Z
@rakazt,Betah dok cipeng ngobrol sama Radit,0,2025-12-19T01:09:14Z
@shevaindra7456,"damn, ilove podcast like this, thank you bang radit selalu memberikan podcast dengan berbagai macam topik yang seru !!!",0,2025-12-19T01:06:15Z
@anitapuspa6543,Enamel terdengar seperti animal di telingaku 😢,0,2025-12-19T01:05:57Z
@ridhoansyari5606,Saya kerja di FO dan sering screening pasien ini isinya daging semua sih mantep banget dr tirta 🔥🔥🔥,0,2025-12-19T01:05:51Z
@ipungcahyo9262,WKWKWK DIPANGGIL PAS LIVERPOOL KALAH DOANG,0,2025-12-19T01:01:34Z
@adamibnuanasadam8314,Formula dan Pepsodent ketar ketir,0,2025-12-19T00:57:37Z
@adamibnuanasadam8314,38:55 😂 ovor,1,2025-12-19T00:47:19Z
@NetzAursa,"37:00
44:19
51:50",0,2025-12-19T00:43:20Z
@aadmr,Wkwkwk aku ngakak plus ter edukasi.. TOP 🎉,0,2025-12-19T00:38:05Z
@susahtidur1420,Kok ngerasa kayak toefl ya,0,2025-12-19T00:37:56Z
@rezareval4809,Dr tirta😍,0,2025-12-19T00:32:45Z
@Dafrilarf,Orang ini lagi😂,0,2025-12-19T00:31:27Z
@agungpratamahudra3573,"orang indo yg fasih ber bahasa inggris cuma bang radit doang yang punya aksen asli indo, yg lain aksen nya amerika semua, keren band radit",1,2025-12-19T00:07:07Z
@abogoboga_a,4:46 dok emang ngk bahaya masukin hp kemulut ?,3,2025-12-19T00:06:02Z
@abogoboga_a,bang buat vlog nobar bareng dokter mau liat roasting live,0,2025-12-19T00:04:06Z
@macaramazerra4299,"Mas Radit, terimakasih, karena  aku gak ngarti bhs inggris, tolong dong dikasih terjemahannya. Ini pelajaran bagus dan mahal, tengkyu.",0,2025-12-18T23:57:46Z
@AhmadKhumaidi-o4c,Kenapa gak ada subtitle english version?,0,2025-12-18T23:55:34Z
@hegoyisme,kalo udah liat thumbnailnya beliau gw udah kepikiran bullyan apalagi yg bakal beliau terima dari satu makhluk ini,0,2025-12-18T23:48:15Z
@resahkita,42.50 jengkol/pete = stinky bean,0,2025-12-18T23:47:25Z
@ky.etal.7934,menonton ini saya jadi kembali percaya diri berbahasa inggris 😆 yang penting yakin ya 😂,0,2025-12-18T23:41:26Z
@dindaanrlarv,bang radit usahain 1 minggu 7 kali podcast sama dr tarti,0,2025-12-18T23:35:59Z
@ulfa3309,Nonton podcast serasa ujian listening😂😂,0,2025-12-18T23:35:06Z
@1GilkomUntirta25,Tamu rutin,0,2025-12-18T23:32:52Z
@AndreazMulia,"25:42 
Dr tirta: 🤨
Radit: 🙂‍↕️👍🏻
Celloz: Ngomong apa dia???",1,2025-12-18T23:31:39Z
@ebvlsjm0101,"orang orang bodoh, CCnya nyalahin yaaa, pojok kanan atas, banyak banget yang komen soal translate atau subtitle, CC pojok kanan atas pijit yak",0,2025-12-18T22:59:59Z
@persatuanindonesia-ku,Vibes Morowali nya kuat banget 😂,0,2025-12-18T22:55:49Z
@fauzifauzi9348,Gak ngerti banyak bahasa Inggris minimal ada artinya lah,0,2025-12-18T22:54:14Z
@RizalGaming-wr3qd,mantap,0,2025-12-18T22:20:14Z
@Dhiblenk,3 LOGAT 1 BAHASA ,0,2025-12-18T22:12:28Z
@Saniw2,"Edukasi terseru 2025,Bestt",0,2025-12-18T19:26:56Z
@evinurc,Pecah bgt ketawa umur 3 hari udh ngerokok 😂😂,0,2025-12-18T18:18:31Z
@RoundWireBuild,I love USMILE,0,2025-12-18T17:53:29Z
@evasari3538,Lucu bgtt sih mereka 😂,0,2025-12-18T17:26:00Z
@alfarizi4797,34:25 kruiwicingg 😂,0,2025-12-18T17:25:47Z
@Whozze,aureus penyebab endokarditis ya bukannya?,0,2025-12-18T16:46:30Z
@yuliantoekapratama2548,✨✨✨,0,2025-12-18T16:34:48Z
@DaisyLiliale,😂😂😂😂😂😂😂,0,2025-12-18T16:32:50Z
@IndoSolution,27:55 bahan meme 🤣🤣,0,2025-12-18T16:28:23Z
@TutikSuwarto,19:12 ada sosok bayangan putih terbang menyerupai Fairy 👀,0,2025-12-18T16:28:18Z
@meilhadwi3674,"Bang radit ke dr tirta: ""Bokem bgt nih org, plis jgn malu2in nama indo di depan profesorrr"" 😂😂😂😂😭😭😭😭",1,2025-12-18T16:22:37Z
@heyitisA,Seru seru seru,0,2025-12-18T16:19:24Z
@danieltanto8812,"untu krowok, ngumpul kene...",0,2025-12-18T16:17:58Z
@n.bilaff,44:10 bokem banget😭😭😭😭😭,0,2025-12-18T16:09:08Z
@naura2848,kerenn bangett sukakkk,0,2025-12-18T16:06:23Z
@Sales3-h7h,"Dr.tirta, sombong amad
Jam tangan gk di copot klo podcast😮",0,2025-12-18T15:58:13Z
@WahyuTUtomo-do1cd,Sangat sangat menghibur 😂,0,2025-12-18T15:58:01Z
@Wisnu-t6m,Ketika 2 ekstrovert dan 1 introvert di podcast😂. Dr. Tirta sama mas radit aktif banget😂,0,2025-12-18T15:54:58Z
@n.bilaff,27:16 ikonik moment😭😭😭😭,0,2025-12-18T15:49:45Z
@joedkid6143,Kok jd akrab😂,0,2025-12-18T15:45:56Z
@dixiandra5312,46:46 kenapa mukanya begitu sih,0,2025-12-18T15:44:24Z
@Zhimizu203,"Nah ni baru namanya podcasts  ,lebih bagusan undang orang"" yg berkwalitas aja bang 

Kek gini lebih santay dengerin nya , krn sm²  kek sejiwa 

Klo da dokter tirta  mah dijamin berapa puluh jam podcasts  pasti ttp rame",0,2025-12-18T15:43:32Z
@cleff4657,"23:00
25:10
25:41
26:58
27:18
27:35
27:43
33:04",1,2025-12-18T15:41:38Z
@andikasaputra4081,"Next bikin konten lagi bang sma dr.tirta , konten hiburan sma konten tentang kesehatan collab sama dokter dokter di bidang lain, bahas masalah kesehatan kaya gini seruuuuuu ! Mengedukasi sekali 💥",0,2025-12-18T15:41:16Z
@Txtdariorangtampan,Berarti kumur2 pake vodka 40% gapapa ya dok,0,2025-12-18T15:40:08Z
