author,comment,likes,published
@irwanbukhorimuslim4448,"1. Berhentikan sementara 
2. Lakukan evaluasi 
3. Audit Stakeholder 
4. Berikan ke ahlinya 
5. Tetapkan standar kualitas nasional layak konsumsi.
6. Buatkan perpu sanksi pidana dan perdata jika terjadi keracunan kembali, bukan sekedar minta maaf dianggap selesai.
7. Transparansi anggaran dari atas hingga bawah.
8. Uji sampling setiap hari, untuk memastikan makanan layak konsumsi.
9. Interview personal balancing, untuk mengetahui murid yang memiliki alergi makanan tertentu.
10. Pemerintah siap menerima kritik dan saran dari masyarakat, serta tidak menganggap politisasi dengan mencari provokator dan kambing hitam seperti biasanya tanpa memberikan solusi terhadap saran dan kritik masyarakat tersebut.

""JANGAN JADIKAN ANAK ANAK KAMI SEBAGAI KELINCI PERCOBAAN, DEMI AMBISI PENCITRAAN POLITIK KALIAN""

""JANGAN ANGGAP SETIAP KRITIK DAN SARAN SEBAGAI TINDAKAN POLITISASI""
""KAMI BUKAN POLITIKUS 
KAMI HANYALAH WARGA SIPIL BIASA YANG KHAWATIR ATAS KONDISI ANAK ANAK KAMI"".",0,2025-10-02T20:20:19Z
@BlockL-u7v,"Hentikan program terbodoh ini ,  Sarapan buatan istri saya lebih bergizi untuk anak saya . Tolong hentikan program bodoh ini !!!!!",0,2025-10-02T01:29:52Z
@muhammadalfaruq4023,Sudah bau tanah bukannya fokus ibadah malah ngasih makan serangga,1,2025-10-02T00:35:23Z
@rohmah1745-d1e,Ini progam sangat bagus tapi penanganannya yg kurang . Coba kalau diserahkan kesekolahan langsung ditangani kantinnya dan diawasi Koramil pasti hasilnya beda. Makanan lebih fres dan lebih higienis.Tidak basi dan terhindar dari lalat,0,2025-10-01T21:42:13Z
@Erina-c2w,"mbg program konyol, anggaran 15rb/siswa diberikan kepada ortu murid itu tidak perlu ada lagi anggaran pengadaan dapur, kendaraan, alatmakan, jasa memasak dll, konyol😂😂",1,2025-10-01T11:02:19Z
@MochThamrinaja,mukanya ngeselin ajinq pengel gw tampol,1,2025-10-01T03:38:00Z
@FxHusin,"Daripada mungkin ada baiknya sistem MBG di review ulang.
Sumbang saran, al:
1. Sebaiknya MBG dilakukan desentralisasi kepada sekolah, dengan mengadakan sistem kantin sekolah. Sehingga mendapatkan makanan yang fresh.
2. Untuk pengaturan masak memasak lebih mudah untuk satu sekolah, daripada beberapa sekolah.
3. Menu makanan dapat mempekerjakan tamatan akademi gizi.
4. Untuk juru masak, bisa mendapat bantuan dari tamatan perhotelan jurusan food & beverage.
5. Bahan baku bisa bekerja sama dengan pedagang pasar tradisional, sehingga mencapai tujuan untuk meningkatkan pedagang UMKM.
6. Setiap siswa yang sudah makan, harus mencuci sendiri tray dan sendok makan, sehingga siswa dididik disiplin, yang saat ini mungkin sudah tidak ada lagi dalam rumah tangga tertentu.

Notes:
1. Orang tua murid / emak-emak yang tidak bekerja dan ada waktu, diminta untuk membantu sekolah melakukan pengawasan MBG, dari pembelian sayur mayur, masak, penyajian dan setelah makan.
2. Banyak siswa makan, asal ambil, tetapi makan tidak habis and dibuang.
3. Guru juga bisa ikut MBG, sehingga dapat membantu guru yang penghasilannya minim.
4. Pihak sekolah harus melakukan data siswa yang tidak mampu dan mampu secara ekonomi. Siswa yang mampu harus urunan untuk MBG, sehingga mengurangi beban APBN, bantuan pemerintah tepat guna untuk siswa kurang mampu. 
5. Point 3 ini harus dilakukan secara confidential, jangan sampai ada bully dan kesenjangan antar siswa.
6. Apabila ada sisa MBG, bisa dibawa pulang untuk makan malam bagi guru atau siswa atau diberikan kepada masyarakat sekitar yang secara ekonomi berkekurangan.

Hampura upami sumbang saran ini tidak berkenan.
Masih banyak STANDARD OPERATION PROCEDURE yang harus diterapkan, tidak mungkin dijabarkan pada tulisan ini.
Saya bisa dihubungi via WA 0818 189 925.
MATUR SUWUN.
🙏🙏🙏",0,2025-09-30T12:06:57Z
@rebbel-s1w,"dengar dari teman,gaji buat pengadaan mbg ini gak ada. jadi upahnya dari mana? ya uang2 itu juga yg diolah. lahan becek.",1,2025-09-29T16:37:20Z
@suromakmur5107,MBG kebanyakan TEORI SOP. Dgn standar. Mitra yg investasi. Dengan @porsi 15rb. Mereka Inves DAPUR PRERALATAN TENAGA. Jatuhnya menu di DIPLIRIT ketemunya 5ribu / porsi.,1,2025-09-29T01:17:49Z
@niarahma4775,MBG bubarkan segera,0,2025-09-27T07:05:45Z
